updated_species_id,updated_compound_id,charge,value,name of file,data type,original order,old_compound_id,old_species_id
CHB_15846_-1,CHB_15846,-1,-3247060,65_dH,dH_f,2109,CHB_15846,CHB_15846_-1
CHB_15846_0,CHB_15846,0,-3244970,66_dH,dH_f,2110,CHB_15846,CHB_15846_0
CHB_15846_1,CHB_15846,1,-3237020,67_dH,dH_f,2111,CHB_15846,CHB_15846_1
CHB_17659_-1,CHB_17659,-1,-3151932.72,68_dH,dH_f,2112,CHB_17659,CHB_17659_-1
CHB_17659_0,CHB_17659,0,-3141221.68,69_dH,dH_f,2113,CHB_17659,CHB_17659_0
CHB_17659_-3,CHB_17659,-3,-3138041.84,70_dH,dH_f,2114,CHB_17659,CHB_17659_-3
CHB_17659_-2,CHB_17659,-2,-3133523.12,71_dH,dH_f,2115,CHB_17659,CHB_17659_-2
CHB_18075_-1,CHB_18075,-1,-3018655.584,72_dH,dH_f,2116,CHB_18075,CHB_18075_-1
CHB_18075_0,CHB_18075,0,-3007944.544,73_dH,dH_f,2117,CHB_18075,CHB_18075_0
CHB_18075_-3,CHB_18075,-3,-3005308.624,74_dH,dH_f,2118,CHB_18075,CHB_18075_-3
CHB_18075_-2,CHB_18075,-2,-3000245.984,75_dH,dH_f,2119,CHB_18075,CHB_18075_-2
CHB_28850_-1,CHB_28850,-1,-2975761.216,76_dH,dH_f,2120,CHB_28850,CHB_28850_-1
CHB_28850_0,CHB_28850,0,-2965050.176,77_dH,dH_f,2121,CHB_28850,CHB_28850_0
CHB_28850_-3,CHB_28850,-3,-2961870.336,78_dH,dH_f,2122,CHB_28850,CHB_28850_-3
CHB_28850_-2,CHB_28850,-2,-2957351.616,79_dH,dH_f,2123,CHB_28850,CHB_28850_-2
CHB_17239_-1,CHB_17239,-1,-2951385.232,80_dH,dH_f,2124,CHB_17239,CHB_17239_-1
CHB_17239_0,CHB_17239,0,-2940674.192,81_dH,dH_f,2125,CHB_17239,CHB_17239_0
CHB_17239_-3,CHB_17239,-3,-2938582.192,82_dH,dH_f,2126,CHB_17239,CHB_17239_-3
CHB_17239_-2,CHB_17239,-2,-2932975.632,83_dH,dH_f,2127,CHB_17239,CHB_17239_-2
CHB_17552_-1,CHB_17552,-1,-2900783.936,84_dH,dH_f,2128,CHB_17552,CHB_17552_-1
CHB_17552_0,CHB_17552,0,-2890072.896,85_dH,dH_f,2129,CHB_17552,CHB_17552_0
CHB_17552_-3,CHB_17552,-3,-2888566.656,86_dH,dH_f,2130,CHB_17552,CHB_17552_-3
CHB_17552_-2,CHB_17552,-2,-2882374.336,87_dH,dH_f,2131,CHB_17552,CHB_17552_-2
CHB_17808_-3,CHB_17808,-3,-2825880,88_dH,dH_f,2132,CHB_17808,CHB_17808_-3
CHB_17808_-2,CHB_17808,-2,-2820280,89_dH,dH_f,2133,CHB_17808,CHB_17808_-2
CHB_17808_-4,CHB_17808,-4,-2797180,90_dH,dH_f,2134,CHB_17808,CHB_17808_-4
CHB_28846_-1,CHB_28846,-1,-2775213.728,91_dH,dH_f,2135,CHB_28846,CHB_28846_-1
CHB_28846_0,CHB_28846,0,-2764502.688,92_dH,dH_f,2136,CHB_28846,CHB_28846_0
CHB_28846_-3,CHB_28846,-3,-2762410.688,93_dH,dH_f,2137,CHB_28846,CHB_28846_-3
